Center,Status,Case Number,Application SN,Title,Patent Expiration Date
NASA Langley Research Center,Application,LAR-17694-1,"12/974,359",A Synthetic Quadrature Phase Detector/Demodulator for Fourier Transform Spectrometers,03 September 2032
NASA Langley Research Center,Issued,LAR-17695-1,"12/470,689",Vapor-Barrier Vacuum Isolation System,08 January 2032
NASA Langley Research Center,Application,LAR-17696-1,"12/543,686",Asymmetric Dielectric Elastomer Composite Material,03/16/2031
NASA Langley Research Center,Issued,LAR-17705-1,"13/042,655",Tunable damper capable of tailoring the structural damping for individual modes of vibration using minimal space and minimal impact on the system frequencies and mode shapes.,11/28/2031
NASA Langley Research Center,Issued,LAR-17709-1,"12/628,423",Increased Efficiency Nonlinear Optical Interactions,12 January 2029
NASA Langley Research Center,Issued,LAR-17711-1,"12/569,984",Wireless Electrical Applications/Devices Using  floating Electrodes  Electromagnetically Coupled to Open-Circuit Devices,07 September 2030
NASA Langley Research Center,Application,LAR-17723-1,"12/699,334",Novel material for wound healing applications.,
NASA Langley Research Center,Issued,LAR-17724-1,"12/703,221",Electroactive polymer fibers for structural health monitoring.,01/22/2031
NASA Langley Research Center,Issued,LAR-17735-1,"12/881,431","Assessment and Calibration of Crimp Tool Equipped with Ultrasonic Analysis, including Phantom Construction",10/22/2031
NASA Langley Research Center,Issued,LAR-17736-1,"12/370,755",Controlled Deposition And Alignment Of Carbon Nanotubes (Continuation of LAR 16499-1),02/13/2029
NASA Langley Research Center,Application,LAR-17738-1,"12/685,280",Sensory Metallic Materials,
NASA Langley Research Center,Issued,LAR-17743-1,"13/011,198",Reconfigurable Peripheral Component Interconnect local bus controller and target design.,10 July 2031
NASA Langley Research Center,Issued,LAR-17745-1,"12/550,431","Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",11 January 2022
NASA Langley Research Center,Application,LAR-17877-1,"13/277,859",Autonomous Leading-Edge Slat Device for Reduction of Aeroacoustic Noise Associated with Aircraft Wings,
NASA Langley Research Center,Application,LAR-17747-1,"13/029,471",Temperature Sensing Using Temperature Sensitive Dielectric Material in Proximity to Open-Circuit Sensors Having No Electrical Connections,
NASA Langley Research Center,Application,LAR-18090-1,"13/786,608",No Moving Part - Variable Frequency Fluidic Oscillator,03 June 2033
NASA Langley Research Center,Application,LAR-17747-1-CON,"14/193,861",Wireless Temperature Sensor Having No Electrical Connections and Sensing Method for Use Therewith,02/17/2031
NASA Langley Research Center,Issued,LAR-17748-1,"12/546,185",Exfoliation of Hexagonal Boron Nitride,11/19/2030
NASA Langley Research Center,Issued,LAR-17759-1,"12/406,315",Multilayer Electroactive Polymer Composite Material (Continuation of LAR 17112-1),03/18/2029
NASA Langley Research Center,Issued,LAR-17766-1,"12/750,991",Method for Closed Loop Process Control for Electron Beam Freeform Fabrication and Deposition Processes,10 February 2031
NASA Langley Research Center,Application,LAR-17769-1,"12/894,279",Modifying Surface Energy via Laser Ablative Surface Patterning,
NASA Langley Research Center,Application,LAR-17777-1,"13/443,940",Process to Fabricate Specific Sized Monodisperse Polystryene Microparticles,
NASA Langley Research Center,Application,LAR-17780-1,"12/387,703","Boron Nitride Nanotube Fibrils and Yarns  (Filed by JLabs, their ref: ID 1248/Docket 2025(JSA)",
NASA Langley Research Center,Application,LAR-17786-1,"12/964,381",Smart Optics Material Characterization System,
NASA Langley Research Center,Application,LAR-17789-1,"12/969,076",Electroactive scaffold,
NASA Langley Research Center,Application,LAR-17791-1,"13/070,552",Apparatus and Method for Selective Enhancement of Surface Plasmon Polaritons to Initiate and Sustain Low Energy Nuclear Reactions in Metal Hydride Systems,
NASA Langley Research Center,Issued,LAR-17799-1,"13/046,030",Realtime 3-D Image Processing and Enhancement,05/25/2031
NASA Langley Research Center,Application,LAR-17800-1,"13/527,638",Method for generating laser linear frequency modulation waveform,
NASA Langley Research Center,Application,LAR-17801-1,"13/566,077","Coherent Doppler lidar for measuring altitude, ground velocity, and air velocity of aircraft and spaceborne vehicles",08 March 2032
NASA Langley Research Center,Application,LAR-17813-1,"13/198,817",Durable Joining Technology for Uniformly-Curved Composite Sandwich Structures,08/17/2032
NASA Langley Research Center,Application,LAR-17813-1-CON,"14/200,708","Systems, Apparatuses, and Methods for Using Durable Adhesively Bonded Joints for Sandwich Structures",08 May 2031
NASA Langley Research Center,Application,LAR-17830-1,"12/925,047",Actuators and Sensors Fabricated with Boron Nitride Nanotubes (BNNTs) and BNNT Polymer Composites,
NASA Langley Research Center,Issued,LAR-17831-1,"13/214,453",Blended Cutout Flap Design for the Reduction of Jet-Flap Interaction Noise,08/22/2031
NASA Langley Research Center,Application,LAR-17832-1,"13/214,469",Aircraft Engine Nozzle Systems for Jet Noise Reduction by Acoustic Shielding,
NASA Langley Research Center,Application,LAR-17833-1,"13/214,481",Active Aircraft Pylon Noise Control System,
NASA Langley Research Center,Issued,LAR-17836-1,"12/850,708",Sub-Surface Windscreen for Outdoor Measurement of Infrasound,02/18/2031
NASA Langley Research Center,Application,LAR-17841-1,"   14/202,699",High Mobility Transport Layer Structures for Rhombohedral Si/Ge/SiGe Devices,03 October 2034
NASA Langley Research Center,Application,LAR-17848-1,"13/796,626","Spectroscopy using Electric Permittivity, Magnetic Permeability and Electrical Conductivity Spatial Profiles",03 December 2033
NASA Langley Research Center,Issued,LAR-17856-1,"12/688,309",Flexible Thin Metal Film Thermal Sensing System (CIP of LAR 17346-1),09/20/2030
NASA Langley Research Center,Application,LAR-17857-1,"12/967,690",A GPS-Based Pitot-Static Calibration Method Using Global Output-Error Optimization,
NASA Langley Research Center,Application,LAR-17869-1,"13/166,226",Team Electronic Gameplay Combining Different Means of Control,
NASA Langley Research Center,Application,LAR-17886-1,"13/324,527",Method and Apparatus to Detect Wire Pathologies Near Crimped Connector,
NASA Langley Research Center,Application,LAR-17887-1,"13/743,750",Interrogations Leading to Recertification of Wire Crimps and Other Joining Technologies.,01/17/2033
NASA Langley Research Center,Issued,LAR-17888-1,"13/167,093","Time Shifted PN Codes for CW LIDAR, RADAR, and SONAR",12/28/2031
NASA Langley Research Center,Issued,LAR-17894-1,"13/166,121",3-D Super Resolution Algorithm for Flash LIDAR Image Enhancement,12 November 2031
NASA Langley Research Center,Application,LAR-17895-1,"13/166,166",Method and System for Physiologically Modulating Videogames or Simulations Which Use Motion-Sensing Input Devices,
NASA Langley Research Center,Application,LAR-17902-1,"13/068,329",Neutron and Ultraviolet Radiation Shielding Films Fabricated Using Boron Nitride Nanotubes and Boron Nitride Nanotube Composites,
NASA Langley Research Center,Application,LAR-17906-1,"13/272,027",Abnormal Grain Growth Suppression in Aluminum Alloys,
NASA Langley Research Center,Issued,LAR-17908-1,"13/105,004",New Photogrammetry System to Measure Relative 6-Degree-of-Freedom Motion Between Two Bodies Using Heterogeneous Cameras Having Arbitrary Wide-Angle Lenses with Non-Overlapping Fields of View,04/23/2032
NASA Langley Research Center,Application,LAR-17918-1,"13/136,216",High Kinetic Energy Penetrator Shielding and High Wear Resistance Materials Fabricated with Boron Nitride Nanotubes (BNNTs) and BNNT Polymer Composites,
NASA Langley Research Center,Issued,LAR-17919-1,"13/191,882",Z-Shields from Fiber Metal Laminate,07/27/2031
NASA Langley Research Center,Application,LAR-17919-2,"13/963,484",Z-Shields from Fiber Metal Laminate,07/27/2031
NASA Langley Research Center,Application,LAR-18097-1,"13/591,320",Arbitrary Shape Initialization of Fiber Optic Shape Sensing Systems,08/22/2032
NASA Langley Research Center,Application,LAR-17923-1,"13/411,793",A Method of Creating Micro-scale Silver Telluride Grains Covered with Bismuth Nanospheres as Nano-bridges for Thermoelectric Application,11/14/2032
NASA Langley Research Center,Application,LAR-17947-1,"13/775,809",Linear Fresnel Spectrometer Chip with Gradient Line Grating,02/25/2033
NASA Langley Research Center,Application,LAR-17952-1,"13/411,891",Multi-Point Interferometric Phase Change Detection Algorithm,
NASA Langley Research Center,Application,LAR-17958-1,"13/195,251",Wireless Open-Circuit In-Plane Strain and Displacement Sensors Having No Electrical Connections,07/16/2032
NASA Langley Research Center,Issued,LAR-17959-1,"12/894,326",Method of Making a Composite Panel Having Subsonic Transverse Wave Speed Characteristics (Continuation of LAR 16535-1),09/30/2030
NASA Langley Research Center,Application,LAR-17966-1,"13/457,687",Wide Bandwidth Magneto-Resistive Sensor Based Eddy Current Probe,
NASA Langley Research Center,Application,LAR-17967-1,"13/293,846",Relaxor Piezoelectric Single Crystal Multilayer Stacks for Energy Harvesting Transducers (RPSEHT),
NASA Langley Research Center,Application,LAR-17972-1,"13/200,314",BxCyNz Nanotube Formation via the Pressurized Vapor/Condenser,
NASA Langley Research Center,Application,LAR-17973-1,"13/200,316",Efficient Boron Nitride Nanotube (BNNT) and BxCyNz Nanotube Formation via Combined Laser-Gas Flow Levitation (JLab's ref: 2010-09-13-RRW),
NASA Langley Research Center,Application,LAR-17977-1,"13/447,513",Variable Stiffness Shape Adaptive Multi-Layered Polymer Composite,
NASA Langley Research Center,Application,LAR-17980-1,"13/457,540",Space Utilization Optimization Tools,
NASA Langley Research Center,Application,LAR-17984-1,"13/326,779",FLEXible Side Edge Link (FLEXSEL) for Trailing-Edge Flap Aeroacoustic Noise Reduction,12/15/2031
NASA Langley Research Center,Application,LAR-17985-1,"13/231,386",An Acoustic Beamforming Array Using Feedback-Controlled Microphones for Tuning and Self-Matching of Frequency Response (Michigan State University's ref: TEC2011-0045),
NASA Langley Research Center,Application,LAR-17987-1,"13/364,814",A Self-Stabilizing Distributed Clock Synchronization Protocol For Arbitrary Digraphs,
NASA Langley Research Center,Application,LAR-17991-1,"13/200,315",Production Rig for the Synthesis of BNNTs via the PVC Method,
NASA Langley Research Center,Issued,LAR-17993-1,"13/342,264",Locomotion of Amorphous Surface Robots,05 June 2032
NASA Langley Research Center,Application,LAR-17993-2,"14/189,019",Locomotion of Amorphous Surface Robots,01 March 2033
NASA Langley Research Center,Application,LAR-17994-1,"13/273,516","Manufacturing of Low Mass, Large-Scale Hierarchical Thin Film Structural Systems",
NASA Langley Research Center,Application,LAR-17996-1,"14/202,289",Nanostructure Neutron Converter Layer Development,03 October 2034
NASA Langley Research Center,Issued,LAR-18006-1,"13/363,413",Crimp Quality Assessment from Jaw Position-Ultrasonic Transmission Analysis,02 January 2032
NASA Langley Research Center,Application,LAR-18006-2,"14/193,086",Crimp Quality Assessment from Jaw Position-Ultrasonic Transmission Analysis,02 January 2032
NASA Langley Research Center,Issued,LAR-18016-1,"13/029,426",Wireless Temperature Sensor Having No Electrical Connections and Sensing Method For Use Therewith,11/23/2031
NASA Langley Research Center,Application,LAR-18021-1,"13/417,347",Flap Side Edge Liners for Airframe Noise Reduction,07/31/2032
NASA Langley Research Center,Application,LAR-18023-1,"13/417,349",Landing Gear Door Liners for Airframe Noise Reduction,03 December 2032
NASA Langley Research Center,Application,LAR-18024-1,"13/417,351",External Acoustic Liners for Multi-Functional Aircraft Noise Reduction,
NASA Langley Research Center,Application,LAR-18026-1,"13/286,715",Synthesis of Novel Copoly(imide oxetane)s with Unique Surface Properties,
NASA Langley Research Center,Application,LAR-18257-1,"14/105,757",A Structural Joint With Multi-Axis Load Carrying Capacity,12/13/2033
NASA Langley Research Center,Issued,LAR-18032-1,"12/981,432",Fast Tracking Methods and Systems for Air Traffic Modeling Using a Monotonic Lagrangian Grid (US Naval Research Laboratory ref: 100148-US2),12/29/2030
NASA Langley Research Center,Application,LAR-18034-1,"13/291,372",Compact Active Vibration Control System,
NASA Langley Research Center,Application,LAR-18037-1,"13/453,717",A Multifunctional Lightning Protection and Detection System for Aerospace Vehicles,
NASA Langley Research Center,Application,LAR-18040-1,"13/986,089",Multi-Functional BN-BN Composite,03/29/2033
NASA Langley Research Center,Application,LAR-18065-1,"13/860,697",Variable Acceleration Force Calibration System,04 November 2033
NASA Langley Research Center,Application,LAR-18070-1,"13/923,307",Transparent and Ubiquitous Sensing Technology,06/20/2033
NASA Langley Research Center,Application,LAR-18071-1,"13/923,312",Using Ubiquitous Conductor to Power and Interrogate Wireless Passive Sensors and Construct Sensor Network,
NASA Langley Research Center,Application,LAR-18073-1,"13/941,441",Doped Chiral Polymer Negative Index Materials (DCPNIM),07 December 2033
NASA Langley Research Center,Application,LAR-18077-1,"13/630,459",Flight Deck Technology and Procedure for Pilots to Generate Flight-Optimizing Trajectory Requests that Avoid Nearby Traffic,09/28/2032
NASA Langley Research Center,Application,LAR-18089-1,"13/786,713",Synchronized Sweeping Jet Actuators,03 June 2033
NASA Langley Research Center,Application,LAR-18127-1,"13/913,782",Synergistic Chemical and Topographical Surface Modifications and Articles of Manufacture for Dynamic Insect Adhesion Mitigation,06 October 2033
NASA Langley Research Center,Application,LAR-18131-1,"13/774,422",Puncture- healing Thermoplastic Resin Carbon Fiber Reinforced Composites towards More Damage/Impact Tolerant Systems,
NASA Langley Research Center,Application,LAR-18132-1,"13/673,360",Modeling of Laser Ablation and Plume Chemistry in a Boron Nitride Nanotube Production Rig,11 September 2032
NASA Langley Research Center,Application,LAR-18143-1,"13/694,286",In-situ Mechanical Property Measurements of Amorphous Carbon-boron Nitride Nanotube,11/15/2032
NASA Langley Research Center,Application,LAR-18144-1,"13/836,609",Method and System for Physiologically Modulating Videogames and Simulations Which Use Gesture and Body Image Sensing Control Input Devices,03/15/2033
NASA Langley Research Center,Application,LAR-18160-1,"13/864,396",Tension Stiffened and Tendon Actuated Space Manipulators,04/17/2033
NASA Langley Research Center,Application,LAR-18166-1,"13/764,062",Reactive Orthotropic Lattice Diffuser (ROLD) for Reducing Aerodynamic Noise from Aircraft Flap Tips,03 December 2032
NASA Langley Research Center,Application,LAR-18179-1,"13/792,489",Extreme Reduced Instruction Set Computing (xRISC) for High Speed Execution of Computing Algorithms,03 November 2033
NASA Langley Research Center,Application,LAR-18183-1,"13/834,294",Height Control and Deposition Measurement for the Electron Beam Free Form Fabrication (EBF3) Process,03/15/2033
NASA Langley Research Center,Application,LAR-18184-1,"13/987,706",Conductive Polymer/Carbon Nanotube Structural Materials and Methods for Making Same,08/23/2033
NASA Langley Research Center,Application,LAR-18186-1,"12/482,503",Flexible Volumetric Structure,
NASA Langley Research Center,Application,LAR-18202-1,"13/713,033",Ground-to-Space Laser Calibration System,12/13/2032
NASA Langley Research Center,Application,LAR-18204-1,"13/800,379",Quasi-Static Electric Field Generator,03/13/2033
NASA Langley Research Center,Application,LAR-18211-1,"13/781,918",A Statistically Based Approach to Broadband Liner Design and Assessment,03 January 2033
NASA Langley Research Center,Application,LAR-18217-1,"13/771,116",A Graphical Acoustic Liner Design and Analysis Tool,02/20/2033
NASA Langley Research Center,Application,LAR-18246-1,"13/765,714",Tethered Vehicle Control and Tracking System,02/13/2033
NASA Langley Research Center,Application,LAR-18266-1,"14/079,914",Airborne Wind Profiling Algorithm for Doppler Wind Lidar (APOLO),11/14/2033
NASA Langley Research Center,Application,LAR-18267-1,"13/838,260",Method and System for Physiologically Modulating Action Role-playing Open World Video Games and Simulations Which Use Gesture and Body Image Sensing Control Input Devices,
NASA Langley Research Center,Application,LAR-18270-1,"14/079,965",Airborne Doppler Wind Lidar Post Data Processing Software DAPS-LV,11/14/2033
NASA Langley Research Center,Application,LAR-18301-1,"13/838,163",Flap Edge Noise Reduction Fins (FENoRFins),03/15/2033
NASA Langley Research Center,Application,LAR-18318-1,"14/191,898",In-Situ Load System (ILS) for Calibrating and Validating Aerodynamic Properties of Scaled Aircraft in Ground-based Aerospace Testing Applications,02/27/2034
NASA Langley Research Center,Application,LAR-18374-1,"14/072,019",Modulated Sine Waves for Differential Absorption Measurements Using a CW Laser System,06/23/2031
NASA Glenn Research Center,Issued,LEW-16183-1,"08/786,360",PS300 - Self Lubricating Readily Polished High Temperature Composite,01/16/2017
NASA Glenn Research Center,Issued,LEW-16519-2,"09/448,406",Gas Sensing Diode,11/15/2019
NASA Glenn Research Center,Issued,LEW-16901-1,"10/274,756",A Real-Time Signal-To-Noise Ratio Estimation Technique For BPSK And QPSK Modulation Using The Active Communications Channel,10/21/2022
NASA Glenn Research Center,Issued,LEW-17153-1,"09/794,794",Lean Direct Injection Combustor/Multi Point Integrate Module Fuel-Air Mixer,02/27/2021
NASA Glenn Research Center,Issued,LEW-17157-1,"10/198,668",Method For Production Of Atomic Scale Step Height Reference Specimens With Atomically Flat Surfaces,07/17/2022
NASA Glenn Research Center,Issued,LEW-17166-1,"11/121,850","Resilient, Flexible, Pressure-Activated Seal",05 March 2025
NASA Glenn Research Center,Issued,LEW-17167-1,"10/196,391",Radio Frequency (RF) Telemetry System For Sensors And Actuators,07 November 2022
NASA Glenn Research Center,Issued,LEW-17170-1,"10/124,689",Common-Layered Architecture For Semiconductor Silicon Carbide (CLASSiC) Bulk Fabrication,04 December 2022
NASA Glenn Research Center,Issued,LEW-17182-1,"10/652,088",Acoustic Seal,08/22/2023
NASA Glenn Research Center,Issued,LEW-17240-1,"10/601,657",Mechanically Improved Interphase Coating For Silicon-Carbide Fiber-Reinforced Silicon-Carbide Matrix Composites,06/24/2023
NASA Glenn Research Center,Issued,LEW-17256-1,"10/263,980",MEMS Direct Chip Attach (MEMS-DCA) Packaging Methodologies For Harsh Environments,10 March 2022
NASA Glenn Research Center,Issued,LEW-17256-2,"10/926,206",MEMS Direct Chip Attach Packaging Methodologies And Apparatus For Harsh Environments,08/25/2024
NASA Glenn Research Center,Issued,LEW-17269-2,"11/696,441",Reverse-Bias Protected Solar Array With Integrated ByPass Battery,04 April 2027
NASA Glenn Research Center,Application,LEW-17269-3,"13/482,493",Reverse-Bias Protected Solar Array With Integrated ByPass Battery,
NASA Glenn Research Center,Issued,LEW-17291-1,"10/202,643",Improved Processing For Polyimdes Via Concentrated Solid Monomer Reactants Approach,07/25/2022
NASA Glenn Research Center,Issued,LEW-17293-1,"10/390,256",A Comprehensive C++ Controller For A Magnetically Supported Vertical Rotor: Version 1.0,03 December 2023
NASA Glenn Research Center,Issued,LEW-17293-2,"10/729,580",Software For System For Controlling A Magnetically Levitated Rotor,12 April 2023
NASA Glenn Research Center,Issued,LEW-17299-1,"10/147,477",Polyimide Rod-Coil Block Copolymers As Membrane Materials For Ion Conduction,05/13/2022
NASA Glenn Research Center,Issued,LEW-17317-1,"10/777,630",Process For Improving Properties Of Silicon Carbide (SiC) Fibers And SiC Fiber-Reinforced Ceramic Matrix Composites,02/13/2024
NASA Glenn Research Center,Application,LEW-17317-2,"12/709,086",Process For Improving Properties Of Silicon Carbide (SiC) Fibers And SiC Fiber-Reinforced Ceramic Matrix Composites,
NASA Glenn Research Center,Issued,LEW-17345-2,"11/402,997",Temporal Laser Pulse Manipulation Using Multiple Optical Ring Cavities,04/13/2026
NASA Glenn Research Center,Issued,LEW-17383-1,"10/455,139",Wireless Consumer Power,06 May 2023
NASA Glenn Research Center,Application,LEW-17458-2,"13/113,458",Compact Solid-state Entangled Photon Source,
NASA Glenn Research Center,Issued,LEW-17483-1,"10/983,230",Hand Held Device For Wireless Powering And Interrogation Of  BioMEMS Sensors And Actuators,11 August 2024
NASA Glenn Research Center,Issued,LEW-17484-5,"11/363,300",Tracking Of Cells With A Compact Microscope Imaging System Using Intelligent Controls,02/24/2026
NASA Glenn Research Center,Issued,LEW-17494-1,"10/693,850","Self-Sealing, Smart, Variable Area Nozzle (S3VAN) For Dynamic Flow Control In Gas Turbine Engines",10/23/2023
NASA Glenn Research Center,Issued,LEW-17498-1,"11/44,063",Selective Wavelength Filtering,01/28/2025
NASA Glenn Research Center,Issued,LEW-17510-1,"10/693,853",Torsional Magnetorheological Fluid  Resistant Device (TMRFRD),10/23/2023
NASA Glenn Research Center,Issued,LEW-17517-1,"10/856,361",Flow-Field Control-Rods To Stabilize Flow In A Centrifugal Compressor,05/25/2024
NASA Glenn Research Center,Issued,LEW-17520-1,"10/931,205",Hybrid Power Management (HPM) Upgrade,09 January 2024
NASA Glenn Research Center,Issued,LEW-17551-1,"10/891,599",Unitized Regenerative Fuel Cell System,07/15/2024
NASA Glenn Research Center,Issued,LEW-17561-1,"10/894,225",Large Area Permanent Magnet ECR Plasma Source,07/19/2024
NASA Glenn Research Center,Issued,LEW-17589-1,"10/925,499",Slotted Antenna Rectangular Waveguide Plasma Source For Ion Beam And Electron Beam Production,08/25/2024
NASA Glenn Research Center,Issued,LEW-17592-1,"10/926,457",New Ion Conducting Organic/Inorganic Hybrid Polymers,08/26/2024
NASA Glenn Research Center,Application,LEW-17595-1,"13/018,611",A Method Of Improving The Thermo-Mechanical Properties Of Fiber-Reinforced Silicon Carbide Matrix Composites,
NASA Glenn Research Center,Issued,LEW-17605-1,"10/974,991",Skin Modified Aerogel Monoliths For Improved Ruggedness And Lower Hydrophylicity,10/28/2024
NASA Glenn Research Center,Issued,LEW-17618-1,"10/897,279",High Tg Polyimides For Resin Transfer Molding (RTM),07/23/2024
NASA Glenn Research Center,Issued,LEW-17618-1-REIS,"11/429,639",Solvent-Free Low Melt Viscosity Imide Oligomers and Thermosetting Polyimide Composites,05 August 2026
NASA Glenn Research Center,Application,LEW-17618-3,"13/952,872",High Tg Polyimides For Resin Transfer Molding (RTM),07/29/2033
NASA Glenn Research Center,Issued,LEW-17630-1,"11/228,185",Bi-Electrode Supported Cell For High Power Density Solid Oxide Fuel Cells,09/16/2025
NASA Glenn Research Center,Application,LEW-17634-1,"11/228,184",Solid Oxide Fuel Cell Stack Design With Bi-Electrode Supported Cells,
NASA Glenn Research Center,Application,LEW-17634-2,"12/860,210",Solid Oxide Fuel Cell Stack Design With Bi-Electrode Supported Cells,
NASA Glenn Research Center,Issued,LEW-17642-2,"11/398,734",Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,03/23/2026
NASA Glenn Research Center,Issued,LEW-17642-4,"11/483,887",Energetic Atomic And Ionic Oxygen Textured Optical Surfaces For Blood Glucose Monitoring,07 November 2026
NASA Glenn Research Center,Issued,LEW-17661-1 with LEW-17765-1,"11/213,604",Method of Fabricating Silicon Carbide Corrugated Diaphragms and Modular Actuator,08/26/2025
NASA Glenn Research Center,Issued,LEW-17664-1,"11/44,471",Elimination Of Lifetime Limiting Mechanism Of Hall Thrusters,01/28/2025
NASA Glenn Research Center,Issued,LEW-17671-1,"11/311,183",Very Large Area/Volume Microwave ECR  Plasma And Ion Source,12/16/2025
NASA Glenn Research Center,Issued,LEW-17672-1,"10/946,286",Low Density High Creep Resistant Single Crystal Superalloy For Turbine Airfoils,09/22/2024
NASA Glenn Research Center,Issued,LEW-17678-1,"11/40,304",Magnetic Circuit For Hall Effect Plasma Accelerator,01/18/2025
NASA Glenn Research Center,Issued,LEW-17694-1,"11/180,990",Carrier Structure For Packaging Microphotonic Millimeter-Wave Receiver Based On Lithium Niobate Electro-Optic Resonator Disk Technology,07/13/2025
NASA Glenn Research Center,Issued,LEW-17704-1,"11/16,735",Cathode Luminescence Light Source For Broad Band Application In The Visible,12/21/2024
NASA Glenn Research Center,Issued,LEW-17765-1 with LEW-17661-1,"11/213,604",Side Sliding Microactuator,10/21/2025
NASA Glenn Research Center,Issued,LEW-17786-1,"11/412,935",Fully-Premixed Low-Emissions High-Pressure Multi-fuel Burner,04/28/2026
NASA Glenn Research Center,Issued,LEW-17814-1,"11/418,304",Multi-wavelength Time-coincident Optical Communications System,05 May 2026
NASA Glenn Research Center,Issued,LEW-17820-1,"11/625,545",Method For Ultraminiature Fiber Light Source,01/22/2027
NASA Glenn Research Center,Issued,LEW-17820-2,"12/795,356",Method For Ultraminiature Fiber Light Source,09 November 2032
NASA Glenn Research Center,Issued,LEW-17825-1,"11/517,555",Zero G Condensing Heat Exchanger With Integral Disinfection,09 July 2026
NASA Glenn Research Center,Issued,LEW-17826-1,"11/412,924",Method And System For Fiber Optic Determination Of Nitrogen And Oxygen Concentrations In Ullage Of Liquid Fuel Tanks,04/28/2026
NASA Glenn Research Center,Issued,LEW-17859-1,"11/434,578",Miniaturized Metal (Metal Alloy)/PdOx/SiC Schottky Diode Gas Sensors For Hydrogen And Hydrocarbons Detection At High Temperatures,05 December 2026
NASA Glenn Research Center,Issued,LEW-17859-2,"12/143,139",Miniaturized Metal (Metal Alloy) PdOx/Sic Hydrogen And Hydrocarbon Gas Sensors,06/20/2028
NASA Glenn Research Center,Issued,LEW-17877-1,"11/499,982",Antenna Near-Field Probe Station Scanner,08 February 2026
NASA Glenn Research Center,Application,LEW-17877-2,"12/857,004",Antenna Near-Field Probe Station Scanner,
NASA Glenn Research Center,Issued,LEW-17904-1,"11/378,553",Syntheis Of Asymmetric Dianhydrides,03/15/2026
NASA Glenn Research Center,Issued,LEW-17904-2,"11/890,104",Synthesis Of Asymmetrical Benzophenone Dianhydride And Asymmetrical 6F-Dianhydride And Polyimides Therefrom (ALSO See LEW 18236-1),07/19/2027
NASA Glenn Research Center,Application,LEW-17915-1,"12/536,969",Secure Optical Communications Using Quantum Two-Photon Transparency Modulation Spectroscopy,
NASA Glenn Research Center,Issued,LEW-17916-1,"11/754,255",Miniature Amperometric Solid Electrolyte Carbon Dioxide Sensor,05/25/2027
NASA Glenn Research Center,Application,LEW-17916-2,"13/267,978",Miniature Amperometric Solid Electrolyte Carbon Dioxide Sensor,
NASA Glenn Research Center,Application,LEW-17945-1,"11/677,654",Portable Unit For Metabolic Analysis PUMA,
NASA Glenn Research Center,Issued,LEW-17951-1,"10/621,752",Manufacture Of Porous Net-Shaped Materials Comprising Alpha Or Beta Tricalcium Phosphate Or Mixtures Thereof,07/16/2023
NASA Glenn Research Center,Issued,LEW-17954-1,"11/695,435",Composite Case Armor,04 February 2027
NASA Glenn Research Center,Application,LEW-17963-1,"11/860,661",Passive Gas/Liquid Separation Within a Fuel Cell or Electrolysis Cell Using A Conductive Porous Separator,
NASA Glenn Research Center,Issued,LEW-17975-1,"11/489,813",Aluminization And Hyperthermal Atomic Oxygen Texturing Of Polymethylmethacralate Optical Fibers For Blood Glucose Monitoring,07/14/2026
NASA Glenn Research Center,Issued,LEW-17991-1,/0,Toughened Composite Structures,06/24/2025
NASA Glenn Research Center,Issued,LEW-18003-1,"11/689,770",RF MEMS Switches Utilizing Non-Metallic Thin Film Cantilevers/Bridges With Controlled Stress And Conductivity,03/22/2027
NASA Glenn Research Center,Issued,LEW-18042-1,"11/582,693",A Method of Crosslinking Aerogels Using a One-pot Reaction Scheme,10/16/2026
NASA Glenn Research Center,Application,LEW-18042-2,"13/242,425",A Method of Crosslinking Aerogels Using a One-pot Reaction Scheme,
NASA Glenn Research Center,Application,LEW-18043-1,"11/486,460",Supercharged Two-Cycle Engines Employing Novel Single Element Reciprocating Shuttle Inlet Valve Mechanisms And With A Variable Compression Ratio,07/14/2026
NASA Glenn Research Center,Application,LEW-18048-1,"12/285,157",Two And Three Dimensional Near Infrared Subcutaneous Structure Imager Using Adaptive Nonlinear Video Processing,
NASA Glenn Research Center,Issued,LEW-18049-1,"11/946,079",Direct Fuel Impingement Planar-Array-Microreactor,11/28/2028
NASA Glenn Research Center,Issued,LEW-18054-1,"11/364,283",High Work Output Ni-Ti-Pt High Temperature Shape Memory Alloys And Associated Processing Methods,02/28/2026
NASA Glenn Research Center,Issued,LEW-18059-1,"11/956,848",Fluorescent  On-Off  Chemical Sensors,11/30/2019
NASA Glenn Research Center,Issued,LEW-18076-1,"11/689,431",Dust removal from solar cells,03/21/2027
NASA Glenn Research Center,Application,LEW-18076-2,"13/198,896",Dust Removal from Solar Cells,
NASA Glenn Research Center,Issued,LEW-18089-1,"11/774,574",Cup Cylindrical Waveguide Antenna,07 June 2027
NASA Glenn Research Center,Issued,LEW-18138-1,"11/689,874",In-Flight Fault Accommodation Through Automated Control Parameter Changes,03/22/2027
NASA Glenn Research Center,Application,LEW-18205-1,"12/317,232",Branched Rod-Coil Polyimide-poly(ethylene Oxide) (PEO) Copolymers That Are Cured In The Solid State At Ambient  Temperatures,
